uidp,date,study_cycle,adetourtime,a_early,a_late,route_FE,is_long_route,has_long_route_pre,high_dttime,acharge_weekmean,max_cycle
L0204115017,2017-00-13,4,8.0,1,0,4,4.579669976578771e-13,1,1,192,4
L0204115017,2017-00-13,4,8.0,1,0,3,4.579669976578771e-13,1,1,192,4
L0208084657,2017-00-17,0,5.0999999,1,0,10,0.00013111335187454554,0,0,96,4
L0208084657,2017-00-17,0,5.0999999,1,0,9,0.00013111335187454554,0,0,96,4
L0208084657,2017-00-21,0,5.0999999,1,0,10,0.00013111335187454554,0,0,96,4
L0208084657,2017-00-27,0,5.0999999,1,0,10,0.00013111335187454554,0,0,96,4
L0208084657,2017-00-27,0,5.0999999,1,0,9,0.00013111335187454554,0,0,96,4
L0208084657,2017-00-03,0,5.0999999,1,0,10,0.00013111335187454554,0,0,96,4
L0208084657,2017-00-20,0,5.0999999,1,0,10,0.00013111335187454554,0,0,96,4
L0208084657,2017-00-05,0,5.0999999,1,0,10,0.00013111335187454554,0,0,96,4
L0208084657,2017-00-11,0,5.0999999,1,0,9,0.00013111335187454554,0,0,96,4
L0208084657,2017-00-12,0,5.0999999,1,0,9,0.00013111335187454554,0,0,96,4
L0208084657,2017-00-19,0,5.0999999,1,0,9,0.00013111335187454554,0,0,96,4
L0208084657,2017-00-02,1,5.0999999,1,0,9,0.0022293862760756067,0,0,96,4
L0208084657,2017-00-10,2,5.0999999,1,0,10,0.0010714146269528158,0,0,96,4
L0208084657,2017-00-10,2,5.0999999,1,0,9,0.0010714146269528158,0,0,96,4
L0208084657,2017-00-11,2,5.0999999,1,0,10,0.0010714146269528158,0,0,96,4
L0208084657,2017-00-12,2,5.0999999,1,0,10,0.0010714146269528158,0,0,96,4
L0208084657,2017-00-12,2,5.0999999,1,0,9,0.0010714146269528158,0,0,96,4
L0208084657,2017-00-25,4,5.0999999,1,0,10,0.00031994601665574773,0,0,96,4
L0208084657,2017-00-25,4,5.0999999,1,0,9,0.00031994601665574773,0,0,96,4
L0208111357,2017-00-08,0,3.2,0,1,11,0.026480439303865677,0,0,192,2
L0208111357,2017-00-09,0,3.2,0,1,12,0.026480439303865677,0,0,192,2
L0208111357,2017-00-09,0,3.2,0,1,11,0.026480439303865677,0,0,192,2
L0208111357,2017-00-10,0,3.2,0,1,12,0.026480439303865677,0,0,192,2
L0208111357,2017-00-10,0,3.2,0,1,11,0.026480439303865677,0,0,192,2
L0208111357,2017-00-13,0,3.2,0,1,12,0.026480439303865677,0,0,192,2
L0208111357,2017-00-14,0,3.2,0,1,12,0.026480439303865677,0,0,192,2
L0208111357,2017-00-14,0,3.2,0,1,11,0.026480439303865677,0,0,192,2
L0208111357,2017-00-15,0,3.2,0,1,12,0.026480439303865677,0,0,192,2
L0208111357,2017-00-15,0,3.2,0,1,11,0.026480439303865677,0,0,192,2
L0208111357,2017-00-16,0,3.2,0,1,12,0.026480439303865677,0,0,192,2
L0208111357,2017-00-16,0,3.2,0,1,11,0.026480439303865677,0,0,192,2
L0208111357,2017-00-17,0,3.2,0,1,12,0.026480439303865677,0,0,192,2
L0208111357,2017-00-17,0,3.2,0,1,11,0.026480439303865677,0,0,192,2
L0208111357,2017-00-20,0,3.2,0,1,12,0.026480439303865677,0,0,192,2
L0208111357,2017-00-20,0,3.2,0,1,11,0.026480439303865677,0,0,192,2
L0208111357,2017-00-21,0,3.2,0,1,12,0.026480439303865677,0,0,192,2
L0208111357,2017-00-21,0,3.2,0,1,11,0.026480439303865677,0,0,192,2
L0208111357,2017-00-22,0,3.2,0,1,12,0.026480439303865677,0,0,192,2
L0208111357,2017-00-22,0,3.2,0,1,11,0.026480439303865677,0,0,192,2
L0208111357,2017-00-23,0,3.2,0,1,12,0.026480439303865677,0,0,192,2
L0208111357,2017-00-23,0,3.2,0,1,11,0.026480439303865677,0,0,192,2
L0208111357,2017-00-24,1,3.2,0,1,12,0.06862720730886207,0,0,192,2
L0208111357,2017-00-24,1,3.2,0,1,11,0.06862720730886207,0,0,192,2
L0208111357,2017-00-25,1,3.2,0,1,12,0.06862720730886207,0,0,192,2
L0208111357,2017-00-25,1,3.2,0,1,11,0.06862720730886207,0,0,192,2
L0208111357,2017-00-27,1,3.2,0,1,12,0.06862720730886207,0,0,192,2
L0208111357,2017-00-04,2,3.2,0,1,12,0.13776273525307103,0,0,192,2
L0208111357,2017-00-05,2,3.2,0,1,12,0.13776273525307103,0,0,192,2
L0208111357,2017-00-05,2,3.2,0,1,11,0.13776273525307103,0,0,192,2
L0208192703,2017-00-13,0,8.6000004,0,1,14,0.00011445680121624502,0,1,192,4
L0208192703,2017-00-14,0,8.6000004,0,1,14,0.00011445680121624502,0,1,192,4
L0208192703,2017-00-14,0,8.6000004,0,1,13,0.00011445680121624502,0,1,192,4
L0208192703,2017-00-16,0,8.6000004,0,1,14,0.00011445680121624502,0,1,192,4
L0208192703,2017-00-16,0,8.6000004,0,1,13,0.00011445680121624502,0,1,192,4
L0208192703,2017-00-17,0,8.6000004,0,1,14,0.00011445680121624502,0,1,192,4
L0208192703,2017-00-12,1,8.6000004,0,1,14,0.0004472604132765845,0,1,192,4
L0208192703,2017-00-13,1,8.6000004,0,1,14,0.0004472604132765845,0,1,192,4
L0208192703,2017-00-14,1,8.6000004,0,1,14,0.0004472604132765845,0,1,192,4
L0208192703,2017-00-19,1,8.6000004,0,1,13,0.0004472604132765845,0,1,192,4
L0208192703,2017-00-20,2,8.6000004,0,1,14,0.0017423192020714628,0,1,192,4
L0208192703,2017-00-25,2,8.6000004,0,1,14,0.0017423192020714628,0,1,192,4
L0208192703,2017-00-27,3,8.6000004,0,1,13,0.008014595795512669,0,1,192,4
L0208192703,2017-00-03,3,8.6000004,0,1,14,0.008014595795512669,0,1,192,4
L0208192703,2017-00-09,4,8.6000004,0,1,14,0.044017201457970834,0,1,192,4
L0208192703,2017-00-12,4,8.6000004,0,1,14,0.044017201457970834,0,1,192,4
L0208192703,2017-00-15,4,8.6000004,0,1,14,0.044017201457970834,0,1,192,4
L0209101737,2017-00-15,0,10.8,0,1,16,4.06201043299248e-5,0,1,96,3
L0209101737,2017-00-16,0,10.8,0,1,16,4.06201043299248e-5,0,1,96,3
L0209101737,2017-00-20,0,10.8,0,1,16,4.06201043299248e-5,0,1,96,3
L0209101737,2017-00-21,0,10.8,0,1,16,4.06201043299248e-5,0,1,96,3
L0209101737,2017-00-21,0,10.8,0,1,15,4.06201043299248e-5,0,1,96,3
L0209101737,2017-00-23,0,10.8,0,1,16,4.06201043299248e-5,0,1,96,3
L0209101737,2017-00-23,0,10.8,0,1,15,4.06201043299248e-5,0,1,96,3
L0209101737,2017-00-24,0,10.8,0,1,16,4.06201043299248e-5,0,1,96,3
L0209101737,2017-00-24,0,10.8,0,1,15,4.06201043299248e-5,0,1,96,3
L0209101737,2017-00-27,0,10.8,0,1,16,4.06201043299248e-5,0,1,96,3
L0209101737,2017-00-27,0,10.8,0,1,15,4.06201043299248e-5,0,1,96,3
L0209101737,2017-00-28,0,10.8,0,1,15,4.06201043299248e-5,0,1,96,3
L0209101737,2017-00-01,0,10.8,0,1,16,4.06201043299248e-5,0,1,96,3
L0209101737,2017-00-03,0,10.8,0,1,16,4.06201043299248e-5,0,1,96,3
L0209101737,2017-00-03,0,10.8,0,1,15,4.06201043299248e-5,0,1,96,3
L0209101737,2017-00-06,0,10.8,0,1,15,4.06201043299248e-5,0,1,96,3
