run,obj_vals,opt_converged,opt_runtime,is_best_vec,param_1,param_2,param_3
39,0.08057659082550224,1,74.888068527,0,70.26047567958892,46.722921695348234,17.885183619140985
40,0.08065829011928136,1,405.289822682,0,64.38666364701716,51.495005498920435,20.420393349881714
41,0.08065829011928131,1,446.667431779,0,64.38666395893094,51.49500599127531,20.42038947378086
42,0.08085758595961808,1,44.860069275,0,61.65232981905259,61.03276253218429,21.673382395117752
43,0.08057668130683067,1,724.746082991,0,70.22012663525383,46.703376431810874,17.961826130721995
44,0.08065829011928177,1,555.822361782,0,64.38666359840761,51.49500508397842,20.42039632480696
45,0.08078091229472396,1,59.069987618,0,61.48230550204908,60.522484266552354,22.877095918814728
46,0.08065829011928118,1,378.165648018,0,64.38666359996698,51.495005145562324,20.42039622115435
47,0.0805766286224428,1,81.228549331,0,70.21823476137261,46.69359398879972,17.875012063541124
48,0.08065829011928108,1,572.855932103,0,64.38666412073414,51.49500476055601,20.420395095002405
49,0.08057690257142784,0,1847.35056307,0,70.14060216021295,46.65737714273289,18.039461037935233
50,0.08057684950967949,1,665.147375284,0,70.15166748097035,46.662537330090615,18.014314034960286
51,0.08057742719747692,1,100.749171862,0,70.96714362157653,46.517551416619355,17.77945078690099
52,0.08065829011928159,1,411.420075449,0,64.3866638381515,51.49500612226226,20.420388805879856
53,0.08079533559186382,1,76.240509712,0,62.704304161732985,61.494940317657345,23.549888384436453
54,0.08057668966349782,1,62.244008914,0,70.17575716497191,46.66878054089502,17.912960149223423
55,0.08065829011928141,1,546.925855021,0,64.3866639831161,51.49500523433528,20.42039407280651
56,0.0806582901192815,1,441.090666892,0,64.38666358080256,51.495005425255044,20.420394532044714
57,0.08057662736587674,1,61.693609778,0,70.39684872046107,46.767861001798,17.886905534169678
58,0.08057658234656247,1,115.849178597,0,70.3718005101032,46.79513496152284,17.898053310854
59,0.08065829011928087,1,374.892503498,0,64.38666422634748,51.4950047180171,20.420395012167884
60,0.08057679341683845,1,70.834053915,0,70.51865596253313,46.72128075874655,17.86664507690696
61,0.0819486116127086,1,30.211273948,0,53.71863682060108,68.60998574074036,17.12213847596838
62,0.08065829011928129,1,431.306611431,0,64.38666355499373,51.495005513966056,20.420393930786517
63,0.08057669202106486,1,58.081326614,0,70.17571285704138,46.66577861067771,17.88216556564261
64,0.08057718753871301,0,1836.749984232,0,70.0934109749557,46.63895402302621,18.1524760347725
65,0.08057684706030979,1,76.94387796,0,70.55366640905345,46.70335173098034,17.859030326667263
66,0.08065933820207974,1,60.408226937,0,64.70939799140503,50.822594373671414,20.640895799660985
67,0.08057723955889841,0,1708.436009585,0,70.82328173302501,46.66198248656789,17.838517349400227
68,0.08085786816100694,1,147.420678049,0,62.18567232288272,61.440008812775375,22.210162161539145
69,0.08057716106566368,1,108.770695135,0,70.75150126931716,46.6138412815847,17.82069605218122
70,0.08065829011928136,1,412.252726774,0,64.38666372486017,51.495005329019406,20.4203954393677
71,0.08065829011928156,1,402.80234774,0,64.38666422707212,51.495004668469214,20.420394915808547
72,0.0805768923628635,1,794.807181534,0,70.11843865431463,46.63931744838955,18.004604100805377
73,0.0806582901192812,1,504.553417505,0,64.38666354974805,51.495005582635216,20.420394226976804
74,0.08057684007331806,1,687.759273302,0,70.13440275051838,46.64740804105992,17.977799733825176
75,0.0805768247752074,1,524.606415421,0,70.18421386110866,46.685632832766494,18.02725409795046
76,0.08065829011928136,1,358.425232308,0,64.3866635772825,51.495004723339086,20.42039784325154
77,0.08084492544127285,1,91.831807629,0,64.55420699603845,63.45507564369226,24.215156845661614
78,0.08057720355785679,1,96.749403848,0,70.78686829200473,46.61695559607415,17.82138132267932
79,0.08065829011928127,1,406.444024379,0,64.38666405482422,51.49500503598217,20.420394232700588
80,0.08065829011928148,1,394.562865728,0,64.38666391977135,51.49500586485269,20.420390031535742
81,0.08057691443445214,1,197.945167777,0,70.10597157202193,46.63096100778171,18.004741461427336
82,0.08057665355302233,1,74.098150852,0,70.19997443593826,46.681590302572346,17.87743137347019
83,0.08065829011928087,1,432.394516346,0,64.3866641051906,51.49500475553433,20.4203953156391
84,0.08057733381849586,1,71.976542255,0,70.84394711021446,46.536986775420424,17.788988627598183
85,0.08057674662626249,1,386.757281918,0,70.1452401067885,46.6419413606889,17.84722644384793
86,0.08057661155292074,1,54.116213487,0,70.37324317933539,46.759661401816444,17.884036276944304
87,0.08065878373686367,1,202.705475229,0,64.9698423080269,50.85132181079548,20.03405549417159
88,0.08057725846948845,1,1641.054120782,0,70.81522053872496,46.59099798112952,17.8107142240299
89,0.08057662877935633,1,71.178807637,0,70.21902228114321,46.694442478536224,17.878251783332004
90,0.08065829011928169,1,433.960215866,0,64.38666379568598,51.49500377636952,20.420402719660483
91,0.08065829011928137,1,490.811950015,0,64.38666349279539,51.49500576830639,20.42039354344795
92,0.0806582901192817,1,432.968893791,0,64.3866638110186,51.49500376677863,20.420402806132856
93,0.08065829011928131,1,409.800419325,0,64.3866642021926,51.49500427109095,20.420398146428063
94,0.08065829011928097,1,496.741456783,0,64.38666389800022,51.49500569057971,20.420391594401597
95,0.08057698471571405,1,70.304792331,0,70.63619291083045,46.65825253225077,17.839980560706362
96,0.08057669573685058,1,82.725436472,0,70.4569392027129,46.76299305922055,17.88405847777787
97,0.08065829029069106,1,65.955488044,0,64.38831763278985,51.49281029101734,20.414770747311486
98,0.08057743444708114,1,1634.115089073,0,70.97538877177057,46.51022376371294,17.776440138835326
99,0.08057686021385724,1,571.771849011,0,70.14496833464591,46.65823057942429,18.016201669249778
