run,obj_vals,opt_converged,opt_runtime,is_best_vec,param_1,param_2,param_3,param_4,param_5
77,0.06778316919101499,1,82.68485211,1,366.4602154615462,109.78079521635188,86.88405301100155,19.165130302789212,95.78437286793879
78,0.06778319710334467,1,91.955610434,0,366.4072486725272,109.83876494433817,86.97187214642236,19.16742859743237,95.78134823659255
79,0.06778324511385377,1,115.395612997,0,366.56953522175354,109.87848588327937,86.99701370355776,19.120975940464184,95.80949924257241
80,0.06778940636497184,1,71.513152106,0,364.3092522751645,109.39185546025156,86.34859224562935,19.162124980667183,95.34643856564901
81,0.06778349445150524,1,76.475804613,0,366.3993146180135,109.65222145766944,86.79729809211032,19.361886630357663,95.79574821844744
82,0.06778559285819835,1,110.680933123,0,364.5137816745942,109.53667046436777,86.88024023745288,19.17679681068033,95.42300265826246
83,0.06778392583109501,1,182.620757755,0,365.52427242420237,109.9171427368211,87.22201427163398,19.046930381868144,95.62252614992869
84,0.06778365416852733,1,108.792073978,0,365.6376367640444,109.75666779885192,86.990426638304,19.20055416329112,95.64577352942662
85,0.06778320713806127,1,73.87356856,0,366.66204422762974,109.83928352848595,86.93267279810829,19.268063936768378,95.82662869140749
86,0.06778344418816608,1,105.085212871,0,366.374319087218,110.01873388062415,87.22314415914828,19.16188723774202,95.75981930303526
87,0.06778319614601266,1,105.782954651,0,366.7034544739812,109.8436294908843,86.9294002575792,19.189819429914888,95.8329263125869
88,0.06778409449038579,1,66.708463125,0,365.487261582997,109.78121708144934,87.04218532489547,19.019596143349368,95.61463212537073
89,0.06778856737786894,1,50.321519957,0,365.67644101495614,110.4521633914883,86.70865694098129,19.596881682564018,95.69621500978924
90,0.06778428926762203,1,110.23712501,0,365.2107186368994,109.82824256860441,87.15296836932558,19.032572618400437,95.5603381949348
91,0.06787750063204905,1,28.424757136,0,365.83385019286055,111.9819809222365,84.17494543006595,16.45488265113225,95.59036993178415
92,0.06778928648639349,1,81.724330475,0,364.5102406038086,109.94025299590727,86.68651615911337,19.44576582076921,95.46611551775347
93,0.06778592880164065,1,69.857067669,0,364.6727697988114,109.21328337911815,86.41389268857817,19.417096927748513,95.47027553349808
94,0.06778402617698595,1,133.521820988,0,365.56401331353925,109.61781251405309,86.79918528423421,19.199723741558852,95.86575406477921
95,0.06778330533364878,1,98.877545975,0,366.1893089573364,109.8384790398096,87.0047959421027,19.12819115327589,95.77691142741975
96,0.06778319776829218,1,106.164386787,0,366.50459765952286,109.86393659634965,86.98995723081697,19.173403444063133,95.80162068920279
97,0.06778344195635085,1,109.442917395,0,366.3188536461923,109.74939430090053,86.87695579616762,19.159142827427843,95.55273408523888
98,0.06778568084641676,1,91.623605804,0,364.79784747292206,109.08182376438798,86.20941584880994,19.038426015639416,95.43339600935785
99,0.06779203912015051,1,79.679222843,0,362.75924764900316,109.01729791648455,86.47166909342155,19.28825244175743,95.06544322479384
100,0.06778665451222497,1,114.928901594,0,364.09983818038023,109.53431905942308,86.93985804119701,19.003090816195076,95.34422218380539
101,0.06778331964902432,1,69.865042465,0,366.96276118762137,109.88397880252124,86.93953851516481,19.15674710664577,95.87596720609947
102,0.06778473689752854,1,142.38956152,0,364.95880398993944,109.76522870665548,87.11341084209543,19.12329529851048,95.52314297584553
103,0.06778343650789716,1,119.132149048,0,365.9124812367585,109.5606630634821,86.67355791801484,19.141913684753963,95.71521010548838
104,0.06778378731894288,1,77.586754083,0,365.4844039610272,109.66062137784317,86.88544603416186,19.203428085053094,95.60411939757259
105,0.06778445258319087,1,77.403385414,0,365.2113468214374,109.5027416528416,86.78869749770713,19.36452781382443,95.53902056962589
106,0.06779211521816854,1,54.169768079,0,362.8257262784229,108.86954681321939,86.28450720846645,19.3300753702144,95.07271175680616
107,0.06778423777472467,1,103.573226095,0,367.06594797641776,110.31245682834296,87.49295027356067,18.950993071526202,95.93275143581326
108,0.06778445501490099,1,84.679469095,0,365.191099044761,109.95099333195304,87.32583192215758,19.108218551318082,95.57191899396193
109,0.0677834428989729,1,119.87640115,0,366.9852464210054,109.93620726665831,87.00232871834797,19.241191587462747,96.01116015938135
110,0.06971316382435767,1,46.911765929,0,345.017078867535,124.33682805968631,82.50261244076336,7.31689200149804,91.82622274696757
111,0.0677832743693814,1,70.648696601,0,366.8874911625773,109.87641092088235,86.94185196377084,19.168071729190345,95.86849294135908
112,0.06778320341425771,1,110.126079855,0,366.3406377378356,109.7584734287712,86.87258442867636,19.12931939361995,95.76374685835373
113,0.06778616213953838,1,105.988177445,0,364.333734172741,109.51964630204685,86.88332735307733,19.061531914276706,95.38003292666741
114,0.06778338417848843,1,127.287243619,0,366.43106994106716,109.56318863534914,86.59227378298789,19.133653473555434,95.75950700998865
115,0.06778317083092211,1,104.420783185,0,366.36200749523965,109.73996858464196,86.84623346281825,19.187007309386658,95.76028965030137
116,0.06778327520543485,1,96.445373572,0,366.06371679111567,109.70875038352875,86.85424169992257,19.22644772010656,95.70728020306974
117,0.06778380168679707,1,102.166891437,0,365.5423607060546,109.74583651450737,86.98917500620556,19.123365262559627,95.62808432943217
118,0.07962398743945863,1,31.677786836,0,288.3369620016273,108.68118396406736,87.79208325098888,1.00002444771716,83.58020851095421
119,0.06778850405354014,1,102.835757449,0,363.6332170935801,109.13105801430478,86.47756117576628,19.05167896480153,95.14781327915186
120,0.06778439673477943,1,68.749307388,0,366.61214039981286,110.01161293956962,87.14156523040019,18.623605973147917,95.82907290232158
