run,obj_vals,opt_converged,opt_runtime,is_best_vec,param_1,param_2,param_3,param_4
28,0.02006222396530484,1,0.33697799,0,93.6194414475413,86.44445573574855,-2.919140095010266,57.65741814317183
29,0.02006222396952165,1,0.639579899,0,93.61765133739655,86.44582414289452,-2.9181329704963437,57.657374844315186
30,0.02006222396937193,1,0.627019521,0,93.61804568360166,86.44568088694618,-2.9180611085379313,57.657463967213275
31,0.020062223980459808,1,0.559103107,0,93.62040425873028,86.44380239552564,-2.9195269955462395,57.6574813350857
32,0.020062223997167478,1,0.627395752,0,93.62090539653805,86.44339899134326,-2.9198539143895257,57.65749399950631
33,0.020062224027624673,1,0.545885897,0,93.6212934281274,86.44295045164728,-2.9203511309199603,57.65742243120157
34,0.020062223969731504,1,0.554375243,0,93.61778974307607,86.44578218259345,-2.9180738655675684,57.657383407609544
35,0.02006222396106635,1,0.48400221,0,93.61886172678037,86.44505180911091,-2.9185160250401454,57.65746060221248
36,0.02006222403167454,1,0.503476637,0,93.62144861269287,86.44286276664076,-2.920383645209729,57.657445727684994
37,0.02006222400230457,1,0.579089682,0,93.6163614453837,86.44676521897141,-2.917487396077434,57.657316448007286
38,0.02006222396157635,1,0.566600697,0,93.61921461352131,86.44471276628661,-2.918838019385824,57.657426711274695
39,0.020062223979833767,1,0.44295124,0,93.61802049553864,86.44587806509828,-2.917753438074535,57.657606458883876
40,0.020062224037182944,1,0.360315936,0,93.61745532482549,86.44668227103483,-2.9167799651848867,57.657831669947555
41,0.020062223978445988,1,0.623307119,0,93.6171300395047,86.44617962803119,-2.917917498063199,57.657337687950985
42,0.020062224018194897,1,0.629035908,0,93.62133314318278,86.44302692550954,-2.920178255602485,57.657481797851666
43,0.02006222397998652,1,0.508860596,0,93.6202042716074,86.44387338905338,-2.9195715390229307,57.6574425754148
44,0.020062224026823915,1,0.296615417,0,93.61794836407276,86.44424698114642,-2.9208100437508837,57.656706733803475
45,0.020062223968506772,1,0.491831942,0,93.6196236514065,86.44430050224865,-2.9192746277675607,57.657418064021314
46,0.02006222396786764,1,0.533493,0,93.61768285665758,86.44577100595195,-2.9182035598107925,57.657359417288994
47,0.020062223964373037,1,0.358051096,0,93.6183006358834,86.44544775175997,-2.9182669963723953,57.65743837560493
48,0.02006222403812501,1,0.29215239,0,93.61692970018345,86.44686317011426,-2.9169920576311688,57.65785105278611
49,0.02006222396513123,1,0.392243443,0,93.61786418954058,86.44562777775309,-2.9183143501376794,57.65736176077455
50,0.02006222396710354,1,0.476653365,0,93.6195478142963,86.44436429887826,-2.91921894074912,57.65741592502844
51,0.02006222396052984,1,0.3288931,1,93.61883945615574,86.44495932570527,-2.918710517357587,57.65741034991511
52,0.02006222396259576,1,0.541717968,0,93.61855389574161,86.44527868635032,-2.918367193412311,57.657461604482684
53,0.02006222396407361,1,0.363857279,0,93.61787211376173,86.44558574480696,-2.9183852173776588,57.65734327349091
54,0.020062223971047996,1,0.497647746,0,93.61984839974045,86.44416512173926,-2.9193335168920744,57.65744198644171
55,0.020062223969361415,1,0.408875029,0,93.61758969223916,86.44584072709478,-2.918153719196399,57.65735612421413
56,0.020062223963665825,1,0.416978053,0,93.61799286883452,86.4455302053202,-2.918385519155216,57.65736561820474
57,0.0200622239669509,1,0.369223011,0,93.61977332638821,86.44430070957539,-2.91914523309274,57.657478272867245
58,0.020062223960619824,1,0.370633409,0,93.61892224869503,86.44491315776759,-2.9187238136383624,57.65741879186462
59,0.02006222396582719,1,0.334190857,0,93.61959699850595,86.44439004983688,-2.9191210983822655,57.65743747807151
60,0.02006222400418574,1,0.488855334,0,93.62101726614877,86.44327843354134,-2.9199816824778524,57.6574787703843
61,0.02006222398871098,1,0.342175224,0,93.62005505930904,86.44379158736862,-2.9198513793594953,57.65734046824184
62,0.020062223999663988,1,0.368732806,0,93.61646017638122,86.4467018112829,-2.917520606523308,57.65732497487162
63,0.020062223974849896,1,0.365680115,0,93.61731109515367,86.44605328058356,-2.917997228497867,57.65734846941744
64,0.02006222401022743,1,0.337553065,0,93.6211198168983,86.4431782440761,-2.9200794203336278,57.65746969093924
65,0.020062223971876604,1,0.340294142,0,93.61999293314979,86.44410092726051,-2.9193246950084024,57.65746269162442
66,0.02006222399673587,1,0.492113896,0,93.61667221622048,86.44659624163843,-2.9175335057950558,57.6573563833309
67,0.020062224040212507,1,0.321825624,0,93.61912551329195,86.44365663361066,-2.9208579652664364,57.6568333281353
68,0.02006222400064207,1,0.33926309,0,93.62072052569214,86.44341624174389,-2.919978245294039,57.65742403754915
69,0.020062223964476766,1,0.30509684,0,93.61960260897425,86.44444066625968,-2.919029386020559,57.65747559254363
70,0.020062223984377278,1,0.367233524,0,93.62010949422005,86.44383444934539,-2.9197236779305755,57.6573821794072
71,0.020062223986680647,1,0.324567671,0,93.62031814442108,86.44373059256753,-2.919741858366911,57.657421301822794
72,0.02006222397378545,1,0.373415833,0,93.61737341600383,86.4460114241849,-2.9180217817894762,57.6573532118681
73,0.02006222407347625,1,0.301360893,0,93.61641783977886,86.44733573865052,-2.916427884284285,57.65769641385802
74,0.020062223965733168,1,0.503317999,0,93.61754799739526,86.44574601862152,-2.918364661554546,57.657290464556745
75,0.020062224006013728,1,0.52302707,0,93.61630353064098,86.44682626199865,-2.9174234511438244,57.657323190169926
76,0.02006222396892188,1,0.580861781,0,93.61761561999138,86.44582106697851,-2.918168028100912,57.65735685364964
77,0.02006222398918928,1,0.311210065,0,93.62066082992823,86.44358399362494,-2.9197184344296123,57.657484808491326
78,0.020062223965584283,1,0.367970376,0,93.61784427370127,86.44564958149361,-2.918291112764127,57.65736486414216
79,0.02006222398040039,1,0.309576279,0,93.62035231408076,86.4438194424934,-2.919543793578231,57.65747443363152
80,0.02006222396377296,1,0.406655709,0,93.61798066848182,86.44553863465825,-2.9183802824741427,57.65736482093281
81,0.0200622239809308,1,0.5177143,0,93.61701615080673,86.44625939620576,-2.917865791786256,57.65732959022022
82,0.02006222398435216,1,0.3050551,0,93.62045064539296,86.44372310496169,-2.919639420260847,57.65746764458119
83,0.02006222396981326,1,0.378140948,0,93.61754181430443,86.44586760619683,-2.918144698154615,57.657349888326706
84,0.020062223981427728,1,0.329847393,0,93.61684517582246,86.44632231495729,-2.9178952348714993,57.65729105499016
85,0.02006222398094592,1,0.359445443,0,93.61704114185922,86.44625148200566,-2.9178600624443396,57.65733725353827
86,0.02006222396151706,1,0.31168248,0,93.61866119438393,86.44517654863584,-2.9184639351098647,57.65745265453859
87,0.020062223971355934,1,0.573040608,0,93.61747818087147,86.44592478183232,-2.9180929720450157,57.65735253473235
88,0.02006222399118936,1,0.474076965,0,93.6208493759021,86.44349689577093,-2.9197205356035734,57.65752094713269
89,0.020062223968257485,1,0.533755755,0,93.61759951665675,86.44580877852943,-2.918204766288216,57.657344263177635
90,0.020062224013130594,1,0.281966317,0,93.61874690006348,86.44402840373864,-2.9205312070615066,57.65692287450114
91,0.020062223965153562,1,0.517688656,0,93.6194808181536,86.44444892715337,-2.919116670903884,57.65742741212654
92,0.020062224037700246,1,0.355107357,0,93.62128767383344,86.44286478466215,-2.9205207584205244,57.65738517802011
93,0.02006222396369028,1,0.596789416,0,93.61798924269114,86.4455324118008,-2.9183845126138275,57.657365225048856
94,0.020062223964164422,1,0.366396598,0,93.61935595278786,86.44452524922723,-2.9190858490438756,57.65742046125919
95,0.02006222396693519,1,0.404731641,0,93.61773212146974,86.44572838326675,-2.918240497361275,57.65735810965335
96,0.020062223976274392,1,0.279410396,0,93.61992113414358,86.44403204511752,-2.9195301358038184,57.657422026219514
97,0.020062223965278948,1,0.318571591,0,93.61803408299932,86.4455750710936,-2.9182623435936392,57.65739840743922
98,0.020062223963375925,1,0.602340723,0,93.61800178798431,86.4455148945765,-2.918406286659441,57.65736153094987
