moment,alpha,gamma,fe_late,beta_e,beta_l,sigma_dt,mu
dt30,-3.0487080872522044e-6,9.593853572778524e-7,1.2008296897494677e-6,1.0322528863470609e-5,9.445426744434251e-5,-3.3572414876601365e-5,-3.3942742311995077e-6
dt31,-1.8429260865809847e-6,1.5683212435744046e-6,7.738724335231599e-7,1.2195213944163764e-5,8.858004581202562e-5,5.43585946540644e-5,-4.5673699383077505e-6
dt32,-3.3554537619625015e-6,8.26042024670234e-7,-9.181679644864573e-8,1.0998777914362127e-5,0.00013009543578040806,-2.410002404184059e-5,-9.046408630799515e-7
dt33,-3.7143378369761527e-6,2.0117300725956858e-7,-1.2989550169418969e-6,3.3486637203525287e-6,0.00013238292359791015,-5.7421739803520756e-5,-4.6023976287074715e-7
dt34,-4.348889850813805e-6,-7.845789042209794e-7,-7.201895367846483e-7,-8.409590219573591e-7,9.770386759099358e-5,-3.321690816593718e-5,-8.471411271161744e-8
dt35,-4.283051517004227e-6,-1.5237080753023282e-6,2.296958995050785e-7,-2.029742783320019e-6,6.753607450140128e-5,-7.980980153898584e-6,8.660470524741436e-7
dt36,-3.6018704220964803e-6,-1.2832695495357422e-6,6.368105839460109e-7,-2.24375831453807e-6,4.2161175479822295e-5,7.816817879249054e-6,1.022019495841988e-6
dt37,-2.5736464305168166e-6,-7.930937203816071e-7,7.760789555735312e-7,-3.1798808255164627e-6,1.5769441093307415e-5,2.036804001531484e-5,9.771224148231074e-7
dt38,-9.191086897317204e-7,-4.898334958790734e-7,7.286707040680394e-7,-4.042471133992639e-6,-1.2670962941076944e-5,2.861320452951288e-5,9.003854324686086e-7
dt39,9.221791964213329e-7,-4.155351138359862e-7,6.216790708094164e-7,-4.461730933229103e-6,-4.529151602249194e-5,3.2081666299410346e-5,9.825807646170023e-7
dt40,3.129135546711684e-6,-4.389232935622554e-7,5.342586094713246e-7,-4.58836405220434e-6,-8.344356322772205e-5,3.23287999781652e-5,1.3356084646123315e-6
dt41,5.5808528033592294e-6,-5.212226233728328e-7,4.7136750698211286e-7,-4.279109451359451e-6,-0.00012984927239803148,2.835424353014894e-5,2.016513394823813e-6
dt42,8.598219664306538e-6,-7.280049871489023e-7,5.379750254920138e-7,-5.039118070457572e-6,-0.000188476582717055,1.0627614459119648e-5,3.0742896574034736e-6
dt43,1.1900697777118134e-5,-1.300889512283642e-6,9.307897122067068e-7,-9.699601110965669e-6,-0.0002609776582389728,-0.00010338717067803798,4.955598182732275e-6
dt44,7.2862918235758084e-6,-4.3686911619141906e-7,1.8837676909619685e-7,-2.8322185013987224e-6,-0.00013273936977692156,5.597182604040208e-5,1.329212092528453e-6
dt45,4.719739885962978e-6,-1.0396905780480529e-7,1.3910145079314374e-9,-7.363829032572912e-7,-7.001291571546348e-5,5.174091759822275e-5,3.4521623717538826e-7
dt46,3.1190235720621393e-6,2.6107990746738937e-8,-8.207204165764595e-8,-6.388942597968076e-8,-3.9222968203560557e-5,3.5404616417372734e-5,2.406004567121667e-8
dt47,2.12668783338143e-6,8.342649796173406e-8,-1.7100094363709974e-7,1.368176785677259e-7,-2.331729865665347e-5,2.340365247720326e-5,-9.186013937685366e-8
dt48,1.461875721200498e-6,1.0394194266665142e-7,-2.1770232619037803e-7,1.123457097524423e-7,-1.4454938858410955e-5,1.5902500597601913e-5,-1.3108871905259053e-7
dt49,9.914577293221339e-7,1.3104112249123126e-7,-2.6885358032079683e-7,3.101015001038715e-8,-9.249586434625638e-6,1.128499628600061e-5,-1.8058650067183455e-7
late 0,-0.0002694454481614568,-0.0003172077090493953,6.861063195243629e-21,-2.028636282274736e-6,-3.2315373716734226e-6,-3.091550011639745e-6,0.0012059017050232532
late 1,-0.00028474372140094805,-0.00027393607697632046,-1.7152657988109073e-21,-6.546443545690277e-6,-1.1757017787754608e-5,3.3891513614255393e-6,0.0011878872846378757
late 2,-0.0003197341164024998,-0.0002567013658009326,-1.1435105325406048e-21,-8.267097591710103e-6,-1.60826255165057e-5,5.467205157404002e-6,0.0009787806719545576
late 3,-0.0004342533907217404,-0.00036395612684711806,1.429388165675756e-22,-1.0839802210786857e-5,-2.0814983657672027e-5,6.926393876928523e-6,0.0013644937411377695
late 4,-0.0006620187662815571,-0.0012337091426171283,0.0,-1.0908986894098259e-5,-3.258012425476134e-5,1.0872544106334463e-5,0.0007763378308766519
early 0,-0.0003033563483033285,-0.0003443682062374413,0.0008000092355482196,1.7302924220695107e-6,4.980490607933707e-6,-2.044110363221383e-5,0.0013610517225639475
early 1,-0.0007006032452922239,-0.0014245147185576296,0.0014399868090858602,-4.977314864723355e-6,-3.1246059313867334e-6,-2.2612317842976574e-5,0.001166141049189736
early 2,-0.00046755029511707483,-0.0003753706484016209,0.0011721929943479645,-6.712210461229889e-6,-5.593848351357428e-6,-1.8759320526858237e-5,0.0013265130531933196
early 3,-0.00038305391535819815,-0.000253590806766227,0.0010329215154057398,-6.739235757020365e-6,-5.156782171729511e-6,-1.8429637664670208e-5,0.0010346095817229356
early 4,-0.000247635053920629,-0.0002031842523487512,0.000628627532504176,-5.063863653306026e-6,-2.4638676518901345e-6,-1.1417278542777731e-5,0.0010210496042948485
