uidp,deviceid
L0424152725_7964,E8YXYN5JH
L0424153639_1401,BRVZ7XPUG
L0424155218_1832,9FLE65W2M
L0222195824,E8645JNTU
L0424160111_A4A0,5KG9PJ5TP
L0424160232_D51E,HV3RWMCGR
L0424160751_12ED,NJCVBY343
L0424162206_4A81,JV58QF4K9
L0222203754,7H6L2GV4G
L0424163854_3CB4,VGLCGEXDZ
L0424164234_8F79,Q8FX8NW2S
L0424165750_EAA2,THJAKNMZU
L0424170750_63AE,HV35RKR34
L0424171329_544F,DTX37HE5A
L0424172802_F574,7HJDDX5WP
L0424172805_6EFE,NJCTGJSE2
L0424174046_E7E1,SNHJJSX82
L0424181129_6741,JV58XAV8E
L0424181409_BA79,YVPBAMM3Y
L0424183239_E685,2WDC5ZM36
L0424183922_3B2E,YVPBN9UU6
L0424184611_7294,3MED5QU27
L0424185117_5E5E,Q8FXRZ7MW
L0424191548_E1D1,WTMDUR3XE
L0424195449_DC6B,BRVXEHB8T
L0424195831_8704,65HC7CK86
L0424200604_876C,GQ2VKEXSL
L0424202459_EAC1,Z2QCWF2E3
L0425080947_D174,HV3XUUDVW
L0425082435_69BA,E8YMPDJFU
L0425085646_7A74,2WDNBRV7C
L0425091028_A611,AZUTA7LND
L0425091122_B3E9,KP6AC5ELS
L0425095236_294E,YVPKADG5T
L0425095933_DF74,3ME4BBW3J
L0425095940_E105,JV5T99JUM
L0425101634_89E5,THJEJMTKH
L0425102211_528B,CKW9AS2WY
L0425102838_9AC6,JV5T2WMRE
L0425103232_F65E,VGLSTZQZ6
L0425103717_7AAE,NJCDBTJ4T
L0425104804_7BBE,YVP5ZRGCT
L0425105803_8497,WTM56FH3N
L0425110244_2C32,JV5XVXYCF
L0425111240_67FE,VGL8G8LGF
L0222171350,U83Z8XCR4
L0425111650_3A1D,WTM5TUJGN
L0425111815_9E74,U8KQ82ZJQ
L0425114622_66FF,2WDSL8DU8
L0425115603_0F55,CKWZ5K2MA
L0425130906_3300,PVEDZ32RA
L0425131112_D7CC,5KG858MJW
L0425083413_B9AD,9FL86SFXB
L0222173244,HV69QZ3UE
L0425112146_737B,JV5XV3KT3
L0425122407_1704,5KGV8GHN3
L0425122824_3D13,DTXLMCGFA
L0425151119_1E8F,CKWZBS9BC
L0425152003_ECA9,HV3TG9LZB
L0425153707_F1B8,YVPAXUAGW
L0425160604_D32F,CKWZJL4WN
L0425160816_FC86,THJQSE28L
L0425162245_0FA8,65HS3FK9C
L0425162910_7EBA,YVPACC5E6
L0425163039_A80C,CKWZ3HNLP
L0425164433_9461,WTM5EQ3Q6
L0425164649_732B,8NKSXZ399
L0425170021_7600,HV3TJBR4R
L0425170243_93B6,THJQWBMQJ
L0425171636_70E4,AZUHBGLLC
L0425172540_BBBD,Q8FE7R2TR
L0425173512_64BB,5KG8XDTWH
L0425175514_D070,BRV86EV5C
L0425175751_E2A1,MWBA3YUWE
L0425182930_7DEB,4EF4PJ9LU
L0425184525_4C30,JV5XBT7SQ
L0425184717_A4D4,NJC9F4THR
L0425190103_EA9B,DTXLU8QZN
L0425190332_271D,9FLSHRZHX
L0425194311_634C,YVPSBCLEA
L0425195539_D949,BRV8J6DMV
L0425202454_7D4A,5KGZK7XZH
L0425204354_CEDF,PVEZVHVAE
L0222180702,E8642AQQN
L0222180714,PV3Z9TLUG
L0425163419_4A21,3MEP3KKQ7
L0426082752_64D7,YVPN44VGY
L0426084647_B3D5,DTXZ2WDS2
L0426084835_BA55,KP6F2SMNU
L0426093542_6348,XENTW5QAN
L0426095720_318E,MWBHJY248
L0426103143_A9E9,3ME56F7VE
L0222182330,PV3ZD898G
L0426093038_C4E6,E8YNKRCRN
L0426100005_B2C4,5KGJ82H4H
L0222182541,XE3JUPMPU
L0426100710_B09A,E8YNDEAE6
L0426104654_AC6E,NJCHZCPM2
L0426105816_D4D8,E8YN7QZ5N
L0426112407_EA97,XENTDQ93Y
L0426113753_3F85,MWBHQ5RC8
L0426120050_F0B0,65HKAPX6E
