run,obj_vals,opt_converged,opt_runtime,is_best_vec,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11
13,0.08119214303601864,1,230.201473239,0,107.54982573525146,108.11740630363633,9.055158456346149,39.13215228001653,-17.409129050821896,-5.171984490568259,42.522784209298116,78.84736466981909,48.578842235299064,19.601527046142053,63.20728399568318
14,0.08105032774911039,1,788.607197128,0,45.51523556995058,121.0518217283854,3.389495104381865,43.15313654753459,-40.69768544091319,-18.03763661695178,28.62944479479148,71.3701002442427,47.76002592002523,20.080213760936363,45.83464861344114
15,0.0810897400588561,1,867.992448805,0,74.44932570686514,111.52566228976804,6.4222684853750165,34.700811738402166,-26.26492676236315,-9.787060189180684,31.085881186863585,73.44819291169767,48.505073959238196,21.033985780001274,54.0478574236417
16,0.08110486120816035,1,1753.743122143,0,97.92995839185643,111.03701394425674,8.40862606079615,41.63886804748953,-21.50791981530201,-7.387272267545181,42.098188921318396,75.43404076271385,49.586137105408774,21.53111944405357,60.96368855865897
17,0.08107125757112771,1,673.169196558,0,82.91653342337446,115.43076145545902,7.005525075072541,44.121837246937055,-27.795225606460203,-11.24554064944109,41.00492811510081,74.07600658348008,48.96637432088596,21.208430780560942,57.55354962994201
18,0.08112233564890237,1,315.08750614,0,102.93299638035586,109.12879529511692,8.91910806645961,40.106990873048204,-19.192715588283694,-6.056419346676928,41.77522621905305,75.5550100642879,49.93659211104168,21.689455770243708,61.93272572079161
19,0.08114258445390765,1,229.848328134,0,82.50046339812361,114.31750206431016,6.9523682852950515,41.984997061029425,-26.683444766291927,-10.6998954426722,39.268596675582494,76.87649778972381,46.98967881863495,20.25358106377378,57.248408105431736
20,0.08103501394376021,1,706.802494853,0,59.00037261028797,118.98427758253061,4.762227018255071,43.05730313375371,-35.715990126294386,-15.559911167820575,33.5923574055648,72.45011081023837,47.93052101963452,20.785065879990217,50.46510347143377
21,0.08106313920708992,1,617.065124827,0,69.62332780060483,114.46143228555698,5.893955335011531,38.14747229483718,-29.104838508787832,-12.291594554422147,32.909521019360206,73.18754939678303,48.20962645162871,20.947215679275114,53.103966161999786
22,0.08104514388727278,1,644.638135932,0,64.16608900700044,116.9951854502124,5.312575065429904,41.080819016615465,-32.904372516481786,-13.916605976076227,33.63113633409227,72.80436856636184,48.06765640057693,20.86334613356049,51.82905892104744
23,0.08111470544970807,1,3974.574262241,0,97.70915231637673,108.8000904022511,8.497251393478532,37.94232984385876,-20.18715246014512,-6.00167352501671,38.74212059764602,75.19052970118827,49.6557921919511,21.497968987630106,60.35259962633101
24,0.08111719871852455,1,933.971671902,0,89.37383519349481,113.83643463022507,7.59664871741548,43.460512953451534,-25.13997394230223,-9.788170878222319,41.88321322549691,77.3661122957034,47.53986005853235,20.841807368176074,59.14465720433932
25,0.08109308690563113,1,1138.242389713,0,93.67293472343974,112.43391106565161,8.012072868405287,42.55980114511127,-23.35509904109508,-8.600036513691622,42.00250388077226,75.02299816572975,49.382714373358354,21.430458796848736,60.07609842840912
26,0.08106047692822808,1,631.273120664,0,74.59325440626345,115.18078821116521,6.2944652843248,40.990360441367294,-29.096805051551783,-11.986715992285749,36.42952212044608,73.55432980330184,48.56384299936985,21.062507346040608,54.91986002865398
27,0.08112298829931949,0,7274.236960302,0,56.462565550824785,111.61594669601418,4.765114008911149,29.29104834756703,-29.336438110691052,-11.766755321082968,21.82289804822737,72.16361423771613,47.96406515932406,20.741968245806195,47.99081356446179
28,0.08111068278981809,1,604.900058054,0,86.84702123960832,114.7874668903713,7.361590488208227,44.16905190649798,-26.278634968155917,-10.657215044591771,42.03414255321361,77.14855269980336,47.719593518280135,21.027253056455034,58.632973949138396
29,0.08108650229441355,1,596.513804647,0,54.249746247021214,114.11385499454096,4.4169711871578015,33.093441102620254,-31.422312932423665,-13.70701560446807,24.259313637419037,72.28072059991038,48.09024440221668,20.780186746278478,47.69152263466829
30,0.08127486863593335,1,513.809854489,0,44.17202570815248,112.70893033625836,3.481419674955872,27.570254516748594,-31.1702779253424,-14.830009287154288,16.54524866740272,72.25809632409212,46.960217357116015,21.8866250330507,43.592690667732285
31,0.08110596147365215,1,1727.916394892,0,55.998850989256994,112.60726721932454,4.642058984668384,31.020367975672492,-30.258038961682637,-12.173268113315142,22.989344115189507,72.40020709081762,48.16360010145966,20.8093173286608,48.007754841107115
32,0.08114326300889114,1,829.293361646,0,109.82464028033527,106.84088801650252,9.549552615480804,38.979035002969354,-16.673507859554675,-3.87366013071666,41.80971707549339,76.44490119143634,50.05782258686931,21.771865242573,63.19557098241241
33,0.0810733524490382,1,797.675058526,0,83.47419444518712,113.60715424227855,7.089133564482336,41.18694452135503,-25.99194133935349,-10.229435986763022,38.72139258428254,74.57618733584728,49.00821290159054,21.305313065345036,57.30430579522779
34,0.08114743492171234,1,3581.472460149,0,110.55124609419842,106.29551429150402,9.612661545447427,38.40718585341555,-16.241081259518353,-3.4024762027073603,41.345750115574745,76.37559040299337,50.08920244915751,21.762949260348886,63.24999820945612
35,0.08106563764500083,1,696.035378631,0,77.61009056446895,114.72359366390049,6.559843755428215,41.09949586302587,-28.07223049430397,-11.43791255535706,37.27527106324544,73.7306868253999,48.58023208155618,21.09253079697281,55.796603213027275
