uidp,mean_km,dist_mode,dist_mean,norm_mean,norm_sd,pk_am,inverse_income_with_pred,a,be,bl,sig,mu,idx,ha
L0512173341_ED27,2.4490402,2.614,2.6140001,-0.74956787,0.79312879,10.5,0.48543462,605.7415215522178,545.4421289339886,346.64210276061016,4.415497004611489,12.809954385759623,287,9.5
L0512173341_ED27,2.4490402,2.614,2.6140001,-0.74956787,0.79312879,10.5,0.48543462,605.7415215522178,545.4421289339886,346.64210276061016,4.415497004611489,12.809954385759623,287,9.5
L0512173341_ED27,2.4490402,2.614,2.6140001,-0.74956787,0.79312879,10.5,0.48543462,605.7415215522178,545.4421289339886,346.64210276061016,4.415497004611489,12.809954385759623,287,9.5
L0512173341_ED27,2.4490402,2.614,2.6140001,-0.74956787,0.79312879,10.5,0.48543462,605.7415215522178,545.4421289339886,346.64210276061016,4.415497004611489,12.809954385759623,287,10.0
L0512173341_ED27,2.4490402,2.614,2.6140001,-0.74956787,0.79312879,10.5,0.48543462,605.7415215522178,545.4421289339886,346.64210276061016,4.415497004611489,12.809954385759623,287,10.25
L0512173341_ED27,2.4490402,2.614,2.6140001,-0.74956787,0.79312879,10.5,0.48543462,605.7415215522178,545.4421289339886,346.64210276061016,4.415497004611489,12.809954385759623,287,10.083333333333334
L0512173341_ED27,2.4490402,2.614,2.6140001,-0.74956787,0.79312879,10.5,0.48543462,605.7415215522178,545.4421289339886,346.64210276061016,4.415497004611489,12.809954385759623,287,8.333333333333334
L0512173341_ED27,2.4490402,2.614,2.6140001,-0.74956787,0.79312879,10.5,0.48543462,605.7415215522178,545.4421289339886,346.64210276061016,4.415497004611489,12.809954385759623,287,11.583333333333334
L0513084011_7CC1,26.136597,27.741,27.60811,-2.2960417,0.047526482,9.5,0.37756038,605.7415215522178,545.4421289339886,346.64210276061016,47.12297730524702,136.71013459435324,288,8.583333333333334
L0513084011_7CC1,26.136597,27.741,27.60811,-2.2960417,0.047526482,9.5,0.37756038,605.7415215522178,545.4421289339886,346.64210276061016,47.12297730524702,136.71013459435324,288,8.583333333333334
L0513084011_7CC1,26.136597,27.741,27.60811,-2.2960417,0.047526482,9.5,0.37756038,605.7415215522178,545.4421289339886,346.64210276061016,47.12297730524702,136.71013459435324,288,8.583333333333334
L0513084011_7CC1,26.136597,27.741,27.60811,-2.2960417,0.047526482,9.5,0.37756038,605.7415215522178,545.4421289339886,346.64210276061016,47.12297730524702,136.71013459435324,288,8.583333333333334
L0513084011_7CC1,26.136597,27.741,27.60811,-2.2960417,0.047526482,9.5,0.37756038,605.7415215522178,545.4421289339886,346.64210276061016,47.12297730524702,136.71013459435324,288,8.583333333333334
L0513084011_7CC1,26.136597,27.741,27.60811,-2.2960417,0.047526482,9.5,0.37756038,605.7415215522178,545.4421289339886,346.64210276061016,47.12297730524702,136.71013459435324,288,8.583333333333334
L0513084011_7CC1,26.136597,27.741,27.60811,-2.2960417,0.047526482,9.5,0.37756038,605.7415215522178,545.4421289339886,346.64210276061016,47.12297730524702,136.71013459435324,288,8.583333333333334
L0513084011_7CC1,26.136597,27.741,27.60811,-2.2960417,0.047526482,9.5,0.37756038,605.7415215522178,545.4421289339886,346.64210276061016,47.12297730524702,136.71013459435324,288,8.583333333333334
L0513084011_7CC1,26.136597,27.741,27.60811,-2.2960417,0.047526482,9.5,0.37756038,605.7415215522178,545.4421289339886,346.64210276061016,47.12297730524702,136.71013459435324,288,8.583333333333334
L0513084011_7CC1,26.136597,27.741,27.60811,-2.2960417,0.047526482,9.5,0.37756038,605.7415215522178,545.4421289339886,346.64210276061016,47.12297730524702,136.71013459435324,288,8.583333333333334
L0513103609_EE66,4.2338395,3.107,3.1070001,-0.92422277,0.13164161,9.666667,0.97086877,605.7415215522178,545.4421289339886,346.64210276061016,7.63340088507155,22.145529040979945,289,9.0
L0513103609_EE66,4.2338395,3.107,3.1070001,-0.92422277,0.13164161,9.666667,0.97086877,605.7415215522178,545.4421289339886,346.64210276061016,7.63340088507155,22.145529040979945,289,8.75
L0513103609_EE66,4.2338395,3.107,3.1070001,-0.92422277,0.13164161,9.666667,0.97086877,605.7415215522178,545.4421289339886,346.64210276061016,7.63340088507155,22.145529040979945,289,9.0
L0513103609_EE66,4.2338395,3.107,3.1070001,-0.92422277,0.13164161,9.666667,0.97086877,605.7415215522178,545.4421289339886,346.64210276061016,7.63340088507155,22.145529040979945,289,9.0
L0513103609_EE66,4.2338395,3.107,3.1070001,-0.92422277,0.13164161,9.666667,0.97086877,605.7415215522178,545.4421289339886,346.64210276061016,7.63340088507155,22.145529040979945,289,8.916666666666666
L0513103609_EE66,4.2338395,3.107,3.1070001,-0.92422277,0.13164161,9.666667,0.97086877,605.7415215522178,545.4421289339886,346.64210276061016,7.63340088507155,22.145529040979945,289,8.75
L0513103609_EE66,4.2338395,3.107,3.1070001,-0.92422277,0.13164161,9.666667,0.97086877,605.7415215522178,545.4421289339886,346.64210276061016,7.63340088507155,22.145529040979945,289,9.0
L0513103609_EE66,4.2338395,3.107,3.1070001,-0.92422277,0.13164161,9.666667,0.97086877,605.7415215522178,545.4421289339886,346.64210276061016,7.63340088507155,22.145529040979945,289,8.916666666666666
L0513103609_EE66,4.2338395,3.107,3.1070001,-0.92422277,0.13164161,9.666667,0.97086877,605.7415215522178,545.4421289339886,346.64210276061016,7.63340088507155,22.145529040979945,289,9.0
L0513103609_EE66,4.2338395,3.107,3.1070001,-0.92422277,0.13164161,9.666667,0.97086877,605.7415215522178,545.4421289339886,346.64210276061016,7.63340088507155,22.145529040979945,289,8.666666666666666
L0513152312_49BC,5.6720901,5.414,5.414,0.69124395,0.088283196,10.5,0.51985198,605.7415215522178,545.4421289339886,346.64210276061016,10.226494790259663,29.668445398698942,290,11.583333333333334
L0513152312_49BC,5.6720901,5.414,5.414,0.69124395,0.088283196,10.5,0.51985198,605.7415215522178,545.4421289339886,346.64210276061016,10.226494790259663,29.668445398698942,290,11.5
L0513152312_49BC,5.6720901,5.414,5.414,0.69124395,0.088283196,10.5,0.51985198,605.7415215522178,545.4421289339886,346.64210276061016,10.226494790259663,29.668445398698942,290,11.583333333333334
L0513152312_49BC,5.6720901,5.414,5.414,0.69124395,0.088283196,10.5,0.51985198,605.7415215522178,545.4421289339886,346.64210276061016,10.226494790259663,29.668445398698942,290,11.5
L0513152312_49BC,5.6720901,5.414,5.414,0.69124395,0.088283196,10.5,0.51985198,605.7415215522178,545.4421289339886,346.64210276061016,10.226494790259663,29.668445398698942,290,11.5
L0513152312_49BC,5.6720901,5.414,5.414,0.69124395,0.088283196,10.5,0.51985198,605.7415215522178,545.4421289339886,346.64210276061016,10.226494790259663,29.668445398698942,290,11.5
L0513152312_49BC,5.6720901,5.414,5.414,0.69124395,0.088283196,10.5,0.51985198,605.7415215522178,545.4421289339886,346.64210276061016,10.226494790259663,29.668445398698942,290,11.416666666666666
L0513152312_49BC,5.6720901,5.414,5.414,0.69124395,0.088283196,10.5,0.51985198,605.7415215522178,545.4421289339886,346.64210276061016,10.226494790259663,29.668445398698942,290,11.5
L0513152312_49BC,5.6720901,5.414,5.414,0.69124395,0.088283196,10.5,0.51985198,605.7415215522178,545.4421289339886,346.64210276061016,10.226494790259663,29.668445398698942,290,11.666666666666666
L0513152312_49BC,5.6720901,5.414,5.414,0.69124395,0.088283196,10.5,0.51985198,605.7415215522178,545.4421289339886,346.64210276061016,10.226494790259663,29.668445398698942,290,11.5
L0516095837_8ABB,11.082497,10.894,11.811389,0.81983316,0.29336378,9.5,0.37756038,605.7415215522178,545.4421289339886,346.64210276061016,19.981187857641462,57.96813014760553,291,11.25
L0516095837_8ABB,11.082497,10.894,11.811389,0.81983316,0.29336378,9.5,0.37756038,605.7415215522178,545.4421289339886,346.64210276061016,19.981187857641462,57.96813014760553,291,11.083333333333334
L0516095837_8ABB,11.082497,10.894,11.811389,0.81983316,0.29336378,9.5,0.37756038,605.7415215522178,545.4421289339886,346.64210276061016,19.981187857641462,57.96813014760553,291,10.416666666666666
L0516095837_8ABB,11.082497,10.894,11.811389,0.81983316,0.29336378,9.5,0.37756038,605.7415215522178,545.4421289339886,346.64210276061016,19.981187857641462,57.96813014760553,291,10.75
L0516095837_8ABB,11.082497,10.894,11.811389,0.81983316,0.29336378,9.5,0.37756038,605.7415215522178,545.4421289339886,346.64210276061016,19.981187857641462,57.96813014760553,291,11.083333333333334
L0516095837_8ABB,11.082497,10.894,11.811389,0.81983316,0.29336378,9.5,0.37756038,605.7415215522178,545.4421289339886,346.64210276061016,19.981187857641462,57.96813014760553,291,11.083333333333334
L0516095837_8ABB,11.082497,10.894,11.811389,0.81983316,0.29336378,9.5,0.37756038,605.7415215522178,545.4421289339886,346.64210276061016,19.981187857641462,57.96813014760553,291,10.916666666666666
L0516095837_8ABB,11.082497,10.894,11.811389,0.81983316,0.29336378,9.5,0.37756038,605.7415215522178,545.4421289339886,346.64210276061016,19.981187857641462,57.96813014760553,291,11.25
L0516095837_8ABB,11.082497,10.894,11.811389,0.81983316,0.29336378,9.5,0.37756038,605.7415215522178,545.4421289339886,346.64210276061016,19.981187857641462,57.96813014760553,291,10.75
L0516095837_8ABB,11.082497,10.894,11.811389,0.81983316,0.29336378,9.5,0.37756038,605.7415215522178,545.4421289339886,346.64210276061016,19.981187857641462,57.96813014760553,291,10.583333333333334
L0517100257_B2D3,20.351192,29.765,27.843645,-0.36107132,0.64400846,10.0,0.27184331,605.7415215522178,545.4421289339886,346.64210276061016,36.692181417141825,106.44898406152588,292,9.333333333333334
L0517100257_B2D3,20.351192,29.765,27.843645,-0.36107132,0.64400846,10.0,0.27184331,605.7415215522178,545.4421289339886,346.64210276061016,36.692181417141825,106.44898406152588,292,10.916666666666666
L0517100257_B2D3,20.351192,29.765,27.843645,-0.36107132,0.64400846,10.0,0.27184331,605.7415215522178,545.4421289339886,346.64210276061016,36.692181417141825,106.44898406152588,292,9.75
L0517100257_B2D3,20.351192,29.765,27.843645,-0.36107132,0.64400846,10.0,0.27184331,605.7415215522178,545.4421289339886,346.64210276061016,36.692181417141825,106.44898406152588,292,11.5
L0517100257_B2D3,20.351192,29.765,27.843645,-0.36107132,0.64400846,10.0,0.27184331,605.7415215522178,545.4421289339886,346.64210276061016,36.692181417141825,106.44898406152588,292,10.0
L0517100257_B2D3,20.351192,29.765,27.843645,-0.36107132,0.64400846,10.0,0.27184331,605.7415215522178,545.4421289339886,346.64210276061016,36.692181417141825,106.44898406152588,292,10.416666666666666
L0517100257_B2D3,20.351192,29.765,27.843645,-0.36107132,0.64400846,10.0,0.27184331,605.7415215522178,545.4421289339886,346.64210276061016,36.692181417141825,106.44898406152588,292,10.333333333333334
L0517100257_B2D3,20.351192,29.765,27.843645,-0.36107132,0.64400846,10.0,0.27184331,605.7415215522178,545.4421289339886,346.64210276061016,36.692181417141825,106.44898406152588,292,10.583333333333334
L0517100257_B2D3,20.351192,29.765,27.843645,-0.36107132,0.64400846,10.0,0.27184331,605.7415215522178,545.4421289339886,346.64210276061016,36.692181417141825,106.44898406152588,292,11.416666666666666
L0517100257_B2D3,20.351192,29.765,27.843645,-0.36107132,0.64400846,10.0,0.27184331,605.7415215522178,545.4421289339886,346.64210276061016,36.692181417141825,106.44898406152588,292,9.833333333333334
L0518095152_D9F5,2.5030415,3.153,3.1590903,1.4840511,0.93175852,10.5,0.37756038,605.7415215522178,545.4421289339886,346.64210276061016,4.5128586479177635,13.092413689519406,293,12.5
L0518095152_D9F5,2.5030415,3.153,3.1590903,1.4840511,0.93175852,10.5,0.37756038,605.7415215522178,545.4421289339886,346.64210276061016,4.5128586479177635,13.092413689519406,293,12.833333333333334
L0518095152_D9F5,2.5030415,3.153,3.1590903,1.4840511,0.93175852,10.5,0.37756038,605.7415215522178,545.4421289339886,346.64210276061016,4.5128586479177635,13.092413689519406,293,12.5
L0518095152_D9F5,2.5030415,3.153,3.1590903,1.4840511,0.93175852,10.5,0.37756038,605.7415215522178,545.4421289339886,346.64210276061016,4.5128586479177635,13.092413689519406,293,11.333333333333334
L0518095152_D9F5,2.5030415,3.153,3.1590903,1.4840511,0.93175852,10.5,0.37756038,605.7415215522178,545.4421289339886,346.64210276061016,4.5128586479177635,13.092413689519406,293,11.75
L0518095152_D9F5,2.5030415,3.153,3.1590903,1.4840511,0.93175852,10.5,0.37756038,605.7415215522178,545.4421289339886,346.64210276061016,4.5128586479177635,13.092413689519406,293,12.25
L0518095152_D9F5,2.5030415,3.153,3.1590903,1.4840511,0.93175852,10.5,0.37756038,605.7415215522178,545.4421289339886,346.64210276061016,4.5128586479177635,13.092413689519406,293,13.75
L0518095152_D9F5,2.5030415,3.153,3.1590903,1.4840511,0.93175852,10.5,0.37756038,605.7415215522178,545.4421289339886,346.64210276061016,4.5128586479177635,13.092413689519406,293,11.0
L0518095152_D9F5,2.5030415,3.153,3.1590903,1.4840511,0.93175852,10.5,0.37756038,605.7415215522178,545.4421289339886,346.64210276061016,4.5128586479177635,13.092413689519406,293,12.666666666666666
L0518095152_D9F5,2.5030415,3.153,3.1590903,1.4840511,0.93175852,10.5,0.37756038,605.7415215522178,545.4421289339886,346.64210276061016,4.5128586479177635,13.092413689519406,293,11.166666666666666
L0518103739_0D60,1.8458374,1.586,1.586,2.1002779,0.40733337,10.5,0.27184331,605.7415215522178,545.4421289339886,346.64210276061016,3.3279525222574375,9.654840658609498,294,12.916666666666666
L0518103739_0D60,1.8458374,1.586,1.586,2.1002779,0.40733337,10.5,0.27184331,605.7415215522178,545.4421289339886,346.64210276061016,3.3279525222574375,9.654840658609498,294,12.833333333333334
L0518103739_0D60,1.8458374,1.586,1.586,2.1002779,0.40733337,10.5,0.27184331,605.7415215522178,545.4421289339886,346.64210276061016,3.3279525222574375,9.654840658609498,294,12.916666666666666
L0518103739_0D60,1.8458374,1.586,1.586,2.1002779,0.40733337,10.5,0.27184331,605.7415215522178,545.4421289339886,346.64210276061016,3.3279525222574375,9.654840658609498,294,12.833333333333334
