minute,pts_in,pts_out
503,1274.0,1046.0
504,1444.0,950.0
505,1396.0,1000.0
506,1405.0,1041.0
507,1399.0,1060.0
508,1419.0,1093.0
509,1399.0,1160.0
510,1467.0,1139.0
511,1523.0,1145.0
512,1491.0,1115.0
513,1558.0,1157.0
514,1511.0,1198.0
515,1547.0,1165.0
516,1540.0,1159.0
517,1616.0,1152.0
518,1648.0,1205.0
519,1637.0,1252.0
520,1658.0,1297.0
521,1611.0,1298.0
522,1730.0,1331.0
523,1756.0,1324.0
524,1807.0,1341.0
525,1864.0,1447.0
526,1803.0,1440.0
527,1785.0,1463.0
528,1821.0,1495.0
529,1908.0,1436.0
530,1965.0,1456.0
531,1994.0,1485.0
532,2045.0,1445.0
533,2019.0,1462.0
534,2024.0,1384.0
535,2087.0,1373.0
536,2082.0,1367.0
537,2015.0,1425.0
538,2064.0,1396.0
539,2115.0,1408.0
540,2135.0,1429.0
541,2156.0,1420.0
542,2118.0,1451.0
543,2185.0,1437.0
544,2202.0,1517.0
545,2261.0,1530.0
546,2364.0,1487.0
547,2343.0,1520.0
548,2345.0,1470.0
549,2342.0,1550.0
550,2304.0,1621.0
551,2341.0,1571.0
552,2371.0,1590.0
553,2425.0,1608.0
554,2342.0,1572.0
555,2344.0,1604.0
556,2371.0,1624.0
557,2294.0,1683.0
558,2315.0,1683.0
559,2375.0,1682.0
560,2305.0,1743.0
561,2317.0,1694.0
562,2342.0,1736.0
563,2355.0,1803.0
564,2351.0,1771.0
565,2316.0,1819.0
566,2414.0,1729.0
567,2460.0,1740.0
568,2419.0,1783.0
569,2338.0,1769.0
570,2310.0,1716.0
571,2323.0,1680.0
572,2417.0,1669.0
573,2334.0,1654.0
574,2290.0,1622.0
575,2302.0,1582.0
576,2265.0,1628.0
577,2282.0,1618.0
578,2201.0,1663.0
579,2252.0,1580.0
580,2229.0,1609.0
581,2221.0,1519.0
582,2237.0,1481.0
583,2189.0,1476.0
584,2272.0,1501.0
585,2391.0,1603.0
586,2225.0,1527.0
587,2207.0,1540.0
588,2159.0,1483.0
589,2183.0,1565.0
590,2176.0,1613.0
591,2211.0,1582.0
592,2186.0,1590.0
593,2245.0,1563.0
594,2343.0,1491.0
595,2163.0,1530.0
596,2164.0,1552.0
597,2223.0,1517.0
598,2168.0,1594.0
599,2084.0,1552.0
600,2125.0,1559.0
601,2167.0,1493.0
602,2105.0,1513.0
603,2074.0,1499.0
604,2048.0,1553.0
605,2020.0,1540.0
606,2039.0,1517.0
607,2077.0,1487.0
608,2060.0,1475.0
609,2068.0,1454.0
610,2088.0,1469.0
611,1994.0,1506.0
612,2007.0,1562.0
613,2135.0,1498.0
614,2033.0,1474.0
615,1976.0,1419.0
616,1999.0,1405.0
617,2005.0,1455.0
618,1943.0,1430.0
619,2036.0,1465.0
620,1990.0,1507.0
621,1945.0,1538.0
622,2005.0,1620.0
623,2065.0,1431.0
624,2050.0,1437.0
625,2042.0,1384.0
626,2060.0,1431.0
627,2044.0,1447.0
628,2060.0,1515.0
629,2072.0,1507.0
630,2145.0,1515.0
631,2127.0,1513.0
632,2111.0,1498.0
633,2151.0,1443.0
634,2104.0,1467.0
635,2106.0,1459.0
636,2111.0,1439.0
637,2059.0,1472.0
638,2055.0,1491.0
639,1946.0,1494.0
640,2027.0,1511.0
641,1984.0,1461.0
642,1936.0,1528.0
643,1912.0,1536.0
644,1883.0,1429.0
645,2058.0,1536.0
646,1923.0,1404.0
647,1842.0,1385.0
648,1905.0,1375.0
649,1886.0,1366.0
650,1938.0,1413.0
651,1897.0,1344.0
652,1866.0,1343.0
653,1888.0,1307.0
654,1919.0,1291.0
655,1759.0,1297.0
656,1902.0,1340.0
657,1858.0,1288.0
658,1877.0,1266.0
659,1731.0,1420.0
660,1779.0,1374.0
661,1864.0,1336.0
662,1836.0,1323.0
663,1784.0,1384.0
664,1921.0,1320.0
665,1809.0,1328.0
666,1921.0,1318.0
667,1857.0,1347.0
668,1924.0,1338.0
669,1893.0,1283.0
670,1861.0,1265.0
671,1853.0,1265.0
672,1867.0,1274.0
673,1845.0,1267.0
674,1763.0,1252.0
675,1802.0,1269.0
676,1772.0,1305.0
677,1794.0,1276.0
678,1777.0,1315.0
679,1796.0,1322.0
680,1793.0,1310.0
681,1720.0,1325.0
682,1811.0,1324.0
683,1834.0,1283.0
684,1790.0,1334.0
685,1804.0,1240.0
686,1803.0,1234.0
687,1756.0,1335.0
688,1846.0,1322.0
689,1751.0,1251.0
690,1751.0,1315.0
691,1713.0,1323.0
692,1751.0,1285.0
693,1697.0,1359.0
694,1710.0,1326.0
695,1753.0,1302.0
696,1757.0,1272.0
697,1718.0,1317.0
698,1774.0,1198.0
699,1769.0,1236.0
700,1740.0,1210.0
701,1702.0,1261.0
702,1737.0,1197.0
703,1721.0,1170.0
704,1782.0,1199.0
705,1973.0,1340.0
706,1778.0,1222.0
707,1729.0,1287.0
708,1742.0,1199.0
709,1715.0,1197.0
710,1684.0,1234.0
711,1779.0,1179.0
712,1702.0,1215.0
713,1762.0,1234.0
714,1720.0,1298.0
715,1762.0,1208.0
716,1763.0,1227.0
717,1709.0,1236.0
718,1778.0,1192.0
719,1872.0,1250.0
720,1803.0,1247.0
721,1753.0,1243.0
722,1673.0,1250.0
723,1701.0,1240.0
724,1708.0,1205.0
725,1688.0,1261.0
726,1783.0,1240.0
727,1798.0,1172.0
728,1845.0,1155.0
729,1827.0,1236.0
730,1767.0,1317.0
731,1687.0,1250.0
732,1670.0,1237.0
733,1693.0,1251.0
734,1705.0,1247.0
735,1751.0,1226.0
736,1758.0,1147.0
737,1763.0,1211.0
738,1765.0,1259.0
739,1742.0,1271.0
740,1813.0,1222.0
741,1818.0,1246.0
742,1808.0,1220.0
743,1759.0,1200.0
744,1806.0,1208.0
745,1758.0,1197.0
746,1738.0,1233.0
747,1687.0,1220.0
748,1709.0,1174.0
749,1696.0,1159.0
750,1703.0,1168.0
751,1674.0,1175.0
752,1628.0,1169.0
753,1655.0,1252.0
754,1629.0,1182.0
755,1656.0,1228.0
756,1687.0,1242.0
757,1737.0,1155.0
758,1776.0,1129.0
759,1736.0,1138.0
760,1631.0,1193.0
761,1679.0,1172.0
762,1671.0,1217.0
763,1687.0,1204.0
764,1758.0,1176.0
765,1787.0,1338.0
766,1743.0,1303.0
767,1775.0,1190.0
768,1770.0,1162.0
769,1758.0,1168.0
770,1687.0,1210.0
771,1651.0,1210.0
772,1700.0,1254.0
773,1767.0,1196.0
774,1776.0,1157.0
775,1704.0,1182.0
776,1696.0,1204.0
777,1731.0,1198.0
778,1682.0,1225.0
779,1632.0,1210.0
780,1671.0,1203.0
781,1677.0,1215.0
782,1648.0,1227.0
783,1656.0,1180.0
784,1626.0,1137.0
785,1612.0,1123.0
786,1606.0,1158.0
787,1602.0,1213.0
788,1609.0,1172.0
789,1674.0,1122.0
790,1751.0,1113.0
791,1738.0,1193.0
792,1679.0,1296.0
