minute,pts_in,pts_out
426,200.0,163.0
427,238.0,170.0
428,200.0,171.0
429,216.0,180.0
430,209.0,175.0
431,187.0,189.0
432,213.0,192.0
433,190.0,177.0
434,200.0,182.0
435,213.0,158.0
436,231.0,158.0
437,255.0,163.0
438,229.0,143.0
439,238.0,152.0
440,211.0,145.0
441,210.0,172.0
442,203.0,146.0
443,218.0,156.0
444,239.0,170.0
445,247.0,138.0
446,230.0,134.0
447,243.0,123.0
448,247.0,119.0
449,255.0,129.0
450,256.0,134.0
451,262.0,130.0
452,261.0,143.0
453,260.0,151.0
454,252.0,149.0
455,258.0,133.0
456,243.0,162.0
457,258.0,152.0
458,266.0,158.0
459,298.0,176.0
460,313.0,169.0
461,310.0,205.0
462,333.0,240.0
463,365.0,192.0
464,329.0,181.0
465,385.0,211.0
466,336.0,227.0
467,372.0,233.0
468,367.0,243.0
469,395.0,255.0
470,393.0,250.0
471,411.0,259.0
472,433.0,232.0
473,451.0,258.0
474,508.0,258.0
475,455.0,287.0
476,470.0,263.0
477,504.0,269.0
478,492.0,276.0
479,489.0,286.0
480,531.0,248.0
481,528.0,308.0
482,574.0,246.0
483,565.0,265.0
484,508.0,251.0
485,510.0,246.0
486,548.0,245.0
487,524.0,246.0
488,527.0,241.0
489,514.0,275.0
490,515.0,279.0
491,506.0,269.0
492,563.0,302.0
493,547.0,284.0
494,581.0,300.0
495,567.0,325.0
496,579.0,326.0
497,548.0,354.0
498,570.0,369.0
499,574.0,369.0
500,604.0,380.0
501,576.0,411.0
502,623.0,410.0
503,617.0,387.0
504,705.0,383.0
505,712.0,420.0
506,712.0,409.0
507,673.0,440.0
508,690.0,455.0
509,677.0,500.0
510,780.0,518.0
511,804.0,513.0
512,788.0,480.0
513,843.0,479.0
514,764.0,489.0
515,815.0,466.0
516,795.0,498.0
517,858.0,484.0
518,869.0,520.0
519,856.0,549.0
520,866.0,539.0
521,802.0,575.0
522,869.0,593.0
523,894.0,608.0
524,969.0,598.0
525,997.0,664.0
526,910.0,700.0
527,908.0,718.0
528,932.0,718.0
529,951.0,720.0
530,1007.0,672.0
531,1050.0,644.0
532,1087.0,620.0
533,1061.0,645.0
534,1076.0,636.0
535,1135.0,645.0
536,1109.0,610.0
537,1062.0,643.0
538,1036.0,648.0
539,1096.0,641.0
540,1119.0,610.0
541,1136.0,598.0
542,1143.0,629.0
543,1147.0,590.0
544,1163.0,681.0
545,1170.0,662.0
546,1210.0,621.0
547,1213.0,657.0
548,1221.0,638.0
549,1220.0,708.0
550,1185.0,689.0
551,1217.0,648.0
552,1248.0,669.0
553,1227.0,682.0
554,1216.0,692.0
555,1224.0,703.0
556,1223.0,696.0
557,1183.0,762.0
558,1169.0,716.0
559,1186.0,717.0
560,1148.0,771.0
561,1102.0,768.0
562,1203.0,779.0
563,1155.0,806.0
564,1179.0,782.0
565,1167.0,832.0
566,1187.0,791.0
567,1207.0,775.0
568,1235.0,799.0
569,1176.0,812.0
570,1232.0,819.0
571,1200.0,811.0
572,1229.0,792.0
573,1236.0,751.0
574,1192.0,762.0
575,1187.0,704.0
576,1174.0,741.0
577,1221.0,757.0
578,1198.0,709.0
579,1159.0,685.0
580,1183.0,698.0
581,1171.0,698.0
582,1197.0,697.0
583,1148.0,666.0
584,1226.0,672.0
585,1273.0,734.0
586,1202.0,708.0
587,1188.0,687.0
588,1178.0,673.0
589,1188.0,706.0
590,1230.0,721.0
591,1212.0,695.0
592,1194.0,724.0
593,1217.0,715.0
594,1275.0,702.0
595,1153.0,693.0
596,1172.0,731.0
597,1202.0,697.0
598,1159.0,684.0
599,1079.0,666.0
600,1140.0,703.0
601,1180.0,637.0
602,1106.0,687.0
603,1114.0,661.0
604,1106.0,667.0
605,1070.0,675.0
606,1078.0,631.0
607,1059.0,625.0
608,989.0,616.0
609,1029.0,552.0
610,1070.0,595.0
611,1060.0,602.0
612,1043.0,659.0
613,1063.0,616.0
614,1060.0,631.0
615,1051.0,590.0
616,1083.0,619.0
617,1091.0,616.0
618,1025.0,613.0
619,1106.0,626.0
620,1067.0,667.0
621,1052.0,643.0
622,1053.0,674.0
623,1097.0,596.0
624,1052.0,599.0
625,1089.0,583.0
626,1071.0,586.0
627,1103.0,602.0
628,1108.0,627.0
629,1091.0,622.0
630,1113.0,641.0
631,1132.0,657.0
632,1131.0,653.0
633,1138.0,620.0
634,1122.0,653.0
635,1080.0,643.0
636,1146.0,633.0
637,1098.0,644.0
638,1100.0,656.0
639,1023.0,651.0
640,1095.0,693.0
641,1047.0,680.0
642,1053.0,724.0
643,1017.0,708.0
644,1025.0,630.0
645,1070.0,682.0
646,996.0,623.0
647,967.0,630.0
648,997.0,599.0
649,1004.0,603.0
650,990.0,660.0
651,965.0,630.0
652,968.0,610.0
653,971.0,582.0
654,967.0,595.0
655,970.0,556.0
656,1016.0,597.0
657,975.0,591.0
658,1001.0,591.0
659,930.0,617.0
660,939.0,609.0
661,1003.0,601.0
662,922.0,589.0
663,912.0,647.0
664,1004.0,556.0
665,876.0,588.0
666,915.0,539.0
667,943.0,533.0
668,962.0,506.0
669,939.0,558.0
670,884.0,521.0
671,916.0,560.0
672,886.0,560.0
673,907.0,555.0
674,877.0,545.0
675,919.0,535.0
676,906.0,587.0
677,907.0,590.0
678,908.0,589.0
679,906.0,607.0
680,925.0,607.0
681,949.0,563.0
682,962.0,578.0
683,992.0,539.0
684,903.0,555.0
685,927.0,519.0
