run,obj_vals,opt_converged,opt_runtime,is_best_vec,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8
32,0.0666800895985787,1,445.02156259,0,103.74457400159909,87.89111426038004,80.08180777182957,-0.4968575721103493,95.23254329211129,59.275775383109185,20.381705027813123,58.399932304505995
33,0.06669041069369536,1,266.489203774,0,103.97452488560026,87.8294345689485,79.83968170247299,-1.5477625274127196,85.07648132131352,60.20517548921926,19.0448216954001,58.60603293384104
34,0.0667310051758088,1,396.274997888,0,104.30274638700953,88.21022164819176,79.73882279083513,-1.2907536200970198,89.84359763115731,58.66062524970075,20.580093892714537,58.62983944370493
35,0.0666879976214913,1,443.337660325,0,103.42899485268714,87.2897143075164,80.4193441276744,-1.4375277372629862,85.60510925811471,59.84587694662931,18.83048882170695,58.60044614570889
36,0.06668812249634799,1,302.949902961,0,104.25877918849845,87.8466922278483,79.88597001899295,-1.250657627957661,86.07317363927766,60.100106154219716,20.48045951235635,58.64987661016855
37,0.06668639736220638,1,368.959251921,0,104.21513563926057,88.0327472823529,79.70022588384165,-1.4795419742231855,85.73438151041445,59.93578599516141,19.49902910636706,58.63283957900521
38,0.06669890811672878,1,1160.582085808,0,103.54637704580261,90.35067014055609,79.32446533945114,-0.6320520233750295,84.8978797632052,59.307799046593736,19.06373859137868,58.59339691668483
39,0.06668992730502521,1,267.232156958,0,104.429974074838,87.75344862056271,79.9128065333753,-1.130822509509036,86.99920268304359,60.93554217264152,18.998801841606067,58.72821488249329
40,0.06671346286250246,1,233.056420283,0,104.14574843862883,88.05810958457843,80.10434990264127,-0.9444380314752893,91.81801200598082,55.51235048359878,19.962790841352444,58.547351468402525
41,0.06670079105014913,1,235.198836559,0,106.11409415215729,87.17070686560893,79.97708436975132,-0.11095687103174334,91.28456985978801,56.263265205463725,18.62592917358023,58.75857040916872
42,0.0666646534793543,1,213.611665148,0,104.77987982676301,88.00274098560082,79.82539037559386,-0.883083895108232,91.24721748377449,58.538132307004744,20.90304860786469,58.68783516454934
43,0.06673101048795757,1,445.517818053,0,104.22787509300237,88.20290839958278,79.75985925158449,-1.310471043954116,89.83480582698425,58.64634113938444,20.570338120982655,58.621698142847556
44,0.06668661796577245,1,485.448868204,0,103.88933206812149,87.90217046337418,79.86556164132124,-1.523817129439029,85.880812191849,59.97538553521919,19.89409108780682,58.600931267886104
45,0.06667837175058351,1,278.18741772,0,104.24592913324041,88.50975848607216,79.32463603877581,-0.16981506653971026,91.43220868135526,58.073651673862685,20.909785519575202,58.34558449001281
46,0.06676000690221955,1,294.537827216,0,106.0966634541252,88.25778740158239,79.10664624584597,-0.4228475270988805,91.97843042265694,61.08838707864755,20.053908720194418,58.642040739372185
47,0.06666852376146748,1,187.198140098,0,106.32651802228682,88.5585482570978,79.30595620871304,-0.7392042011871163,91.81967892793641,57.62289863724716,18.983306151453597,58.709124807381436
48,0.06669152540508533,1,468.439515848,0,103.36570793479859,87.68007696885931,80.36056461656189,-1.0733395068955673,87.31872086684811,60.15828016065235,19.790699471366803,58.55989910207116
49,0.06666149325029333,1,355.676284163,0,104.26567080343791,88.15264723117967,79.85113907609251,-1.1215017997991472,91.42117409069495,58.4049832080421,20.728742601176137,58.61655119974155
50,0.0667310119177419,1,538.241849682,0,104.2809843965968,88.20850725927205,79.74262045179681,-1.3036982150984928,89.84901310345991,58.64604802607001,20.49633490716554,58.62763742860826
51,0.06673101135884506,1,586.822326838,0,104.29439742908733,88.20588330258845,79.74002041563878,-1.301177344709271,89.86159591047998,58.65556877546678,20.49711874380049,58.62901714079775
52,0.0666767908808005,1,222.61728722,0,103.43217981482302,87.29275693503752,80.56308849186372,-0.7876168482359515,94.068843618033,58.30712957359641,20.814586387492362,58.450548676605315
53,0.06668682548637904,1,341.788134314,0,104.37867689710525,88.42081535903749,79.47699524599976,-1.3820136728930283,86.18182454439311,60.256131324112644,19.722412708551175,58.635890296110084
54,0.06669283326785051,1,284.804163785,0,102.19246536217352,86.41751219722669,81.09388630218392,-1.9536169883407952,85.8352031232168,59.90465358960465,18.79058720625682,58.446811610460045
55,0.06680379076826148,1,278.388301525,0,100.65299224640998,86.56438861893973,81.32753344068266,-2.5283745869065997,91.47518390608299,60.64618053266982,16.117598524782963,58.21992017531994
56,0.06673104990754375,1,445.405931992,0,104.21026521271695,88.15550854672043,79.78737811134303,-1.3194645108719416,89.79691206435623,58.66933043217001,20.517767598420328,58.61998946298226
57,0.06668663556667556,1,611.228581364,0,104.0885151658237,88.03377111481477,79.74003919402689,-1.5198534395260208,85.93794519055943,59.71930872092677,19.82104726862529,58.59919868194833
58,0.06668983003249349,1,311.006474833,0,103.92977747941733,87.65677412110708,80.06752167906056,-1.2676156933122913,85.4797935440078,60.26556878681715,19.1713745177912,58.62858009245589
59,0.06673102382232453,1,325.914671827,0,104.29249093787712,88.18207440243815,79.76485628422657,-1.2770511964802962,89.9412229626153,58.63740535601725,20.557234947501023,58.63170662277375
60,0.06668777993096026,1,406.039867932,0,104.05874190650073,88.02844006119392,79.85834959758814,-1.2811578164898743,86.44908399427617,60.61098696643665,19.210529554922168,58.65270674341005
61,0.06673100540127784,1,451.315854674,0,104.29245722644775,88.20178065006287,79.74486682497776,-1.2952932501017989,89.82375367294588,58.64874485270536,20.573944152562557,58.628768758184435
62,0.06673113946844554,1,234.024171194,0,104.26374306807735,88.1542813498389,79.79389462829322,-1.26325252683871,89.97037854721667,58.787261667408536,20.408725216004672,58.631974250857105
63,0.06673272662957437,1,194.516458981,0,104.29750766644324,88.28123474954855,79.74241496229295,-1.2592135390093158,89.32752345291959,58.985313420773984,19.962713076431417,58.70338758267389
64,0.06673100906822756,1,560.795122679,0,104.30064684410752,88.20495497656009,79.74314857296817,-1.2953430097990364,89.87538709943917,58.64790532152796,20.512442807161502,58.629572422123736
65,0.06668708274528903,1,551.606742635,0,105.19263848614283,87.87447519357782,79.57967953586693,-1.1778197443042422,85.96619609956515,59.902159439458444,19.089562816225435,58.75891335683183
66,0.06673100872654929,1,411.371426004,0,104.35309020404915,88.21764348250962,79.71898394572375,-1.2842889402784505,89.79385776534187,58.65284208074655,20.580887916487335,58.63577818908621
67,0.06673101246217417,1,561.134646319,0,104.26157452346338,88.19571520929922,79.7536990782612,-1.309389933187076,89.83924415165986,58.659402524712995,20.487662981279993,58.62557071630144
68,0.06674019320968293,1,207.264303439,0,103.66875932278172,86.97467242437979,80.4134178350813,-1.1674561271935033,83.52579854065323,61.87086962349168,16.610129126877894,58.64915304528178
